[2026-04-29 11:36:41,770][__main__][INFO] - Using device: cuda
[2026-04-29 11:36:42,658][__main__][INFO] - Processing target 1
[2026-04-29 11:36:44,576][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.475582122802734
[2026-04-29 11:36:44,594][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 11:36:44,609][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 11:36:44,625][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 11:36:44,639][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 11:36:44,654][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 11:36:44,669][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.475582122802734
[2026-04-29 11:36:44,670][__main__][INFO] - Processing target 2
[2026-04-29 11:36:44,685][__main__][INFO] -   0.pt: ASR=False, fitness_score=-738.7103271484375
[2026-04-29 11:36:44,699][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 11:36:44,714][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 11:36:44,728][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 11:36:44,743][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 11:36:44,757][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 11:36:44,772][__main__][INFO] -   original.pt: ASR=False, fitness_score=-738.7103271484375
[2026-04-29 11:36:44,773][__main__][INFO] - Processing target 3
[2026-04-29 11:36:44,788][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.112805366516113
[2026-04-29 11:36:44,803][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 11:36:44,817][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 11:36:44,831][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 11:36:44,846][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 11:36:44,861][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 11:36:44,875][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.112805366516113
[2026-04-29 11:36:44,877][__main__][INFO] - Processing target 4
[2026-04-29 11:36:44,892][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.493098258972168
[2026-04-29 11:36:44,906][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 11:36:44,921][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 11:36:44,935][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 11:36:44,950][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.36572551727295
[2026-04-29 11:36:44,964][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 11:36:44,978][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.493098258972168
[2026-04-29 11:36:44,979][__main__][INFO] - Processing target 5
[2026-04-29 11:36:44,994][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.26809310913086
[2026-04-29 11:36:45,008][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 11:36:45,022][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 11:36:45,036][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 11:36:45,050][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.064069747924805
[2026-04-29 11:36:45,064][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 11:36:45,078][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.26809310913086
[2026-04-29 11:36:45,082][__main__][INFO] - Evaluation results saved to /scratch/users/u03kj22/SMIRK/output/attacks/evaluation_results.csv
[2026-04-29 11:36:45,082][__main__][INFO] - Summary: 0/35 successful attacks (ASR: 0.00%)
[2026-04-29 11:36:45,833][__main__][INFO] - HTML report: file:///scratch/users/u03kj22/SMIRK/output/attacks/report.html
