[2026-04-29 12:02:33,712][__main__][INFO] - Using device: cpu
[2026-04-29 12:02:34,242][__main__][INFO] - Processing target 1
[2026-04-29 12:02:36,491][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.475582122802734
[2026-04-29 12:02:36,552][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:02:36,607][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:02:36,665][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:02:36,720][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:02:36,773][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.45692253112793
[2026-04-29 12:02:36,826][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.475582122802734
[2026-04-29 12:02:36,827][__main__][INFO] - Processing target 2
[2026-04-29 12:02:36,879][__main__][INFO] -   0.pt: ASR=False, fitness_score=-738.7103271484375
[2026-04-29 12:02:36,930][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:02:36,982][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:02:37,031][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:02:37,083][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:02:37,136][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.345977783203125
[2026-04-29 12:02:37,188][__main__][INFO] -   original.pt: ASR=False, fitness_score=-738.7103271484375
[2026-04-29 12:02:37,189][__main__][INFO] - Processing target 3
[2026-04-29 12:02:37,242][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.112805366516113
[2026-04-29 12:02:37,299][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:02:37,350][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:02:37,398][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:02:37,448][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:02:37,497][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.607988357543945
[2026-04-29 12:02:37,547][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.112805366516113
[2026-04-29 12:02:37,548][__main__][INFO] - Processing target 4
[2026-04-29 12:02:37,598][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.493098258972168
[2026-04-29 12:02:37,651][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:02:37,700][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:02:37,747][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:02:37,795][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.36572551727295
[2026-04-29 12:02:37,844][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.366264343261719
[2026-04-29 12:02:37,892][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.493098258972168
[2026-04-29 12:02:37,893][__main__][INFO] - Processing target 5
[2026-04-29 12:02:37,942][__main__][INFO] -   0.pt: ASR=False, fitness_score=-9.26809310913086
[2026-04-29 12:02:37,988][__main__][INFO] -   1000.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:02:38,035][__main__][INFO] -   1500.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:02:38,080][__main__][INFO] -   2000.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:02:38,130][__main__][INFO] -   500.pt: ASR=False, fitness_score=-9.064069747924805
[2026-04-29 12:02:38,176][__main__][INFO] -   final.pt: ASR=False, fitness_score=-9.02977466583252
[2026-04-29 12:02:38,231][__main__][INFO] -   original.pt: ASR=False, fitness_score=-9.26809310913086
[2026-04-29 12:02:38,237][__main__][INFO] - Evaluation results saved to /scratch/users/u03kj22/SMIRK/output/attacks/evaluation_results.csv
[2026-04-29 12:02:38,238][__main__][INFO] - Summary: 0/35 successful attacks (ASR: 0.00%)
